Course Code,Course Name,Average GPA Expected,Average Study Hours per Week,Count,Department
AAPI 87,First-year Seminar,4.0,0.5,1,AAPI
AAS 10,Intro/African-American Studies,3.6709090909090913,3.933636363636363,11,AAS
AAS 11,Intro Black Diasporic Studies,3.84,4.15,1,AAS
AAS 170,Legacies of Research,3.875,3.0549999999999997,2,AAS
AAS 190,Sp Topics/Af-Am Studies,3.965,2.0975,4,AAS
AAS 87,Freshman Seminar,4.0,0.5,1,AAS
AIP 197DC,Washington DC Internship,4.0,8.9,1,AIP
AIP 197T,AIP: Special Programs,3.95875,5.80125,8,AIP
ANAR 100,Spec Topics/Anth Archaeology,3.663333333333333,5.775555555555556,9,ANAR
ANAR 100,Spec Topics/Anth Archaeology  ,3.72375,6.27,8,ANAR
ANAR 103,Archaeology in the Holy Land,4.0,9.5,1,ANAR
ANAR 104,Intro GIS for Anth & Arch,3.715,5.19,6,ANAR
ANAR 105,Arch/Literate Soc/Mesoamerica,3.4,3.7,1,ANAR
ANAR 111,Anthropological Archaeology,3.3699999999999997,4.003333333333334,3,ANAR
ANAR 111,Anthropological Archaeology   ,3.4175,4.5575,4,ANAR
ANAR 111,Foundations of Archaeology,3.835,3.5,2,ANAR
ANAR 113,Natural Resources in Israel,3.64,4.14,1,ANAR
ANAR 114,Environmental Hazards - Israel,3.0,4.72,1,ANAR
ANAR 115,Coastal Geomorphology/Environ,3.75,6.665,2,ANAR
ANAR 116,Sea Level Change - Israel,3.8625,3.3,4,ANAR
ANAR 117,Archaeology Field&Lab SoCal,3.953333333333333,2.4633333333333334,3,ANAR
ANAR 119S,Archaeological Field & Lab Cls,3.9375,9.1775,4,ANAR
ANAR 120,Documenting Climate Change,3.723333333333333,5.833333333333333,3,ANAR
ANAR 121,Cyber-Archaeology,3.6999999999999997,5.2725,4,ANAR
ANAR 124,The Archaeology of Asia,3.5,4.3,2,ANAR
ANAR 125,Weapons/Warfare/Anct N. East,3.83,3.4,1,ANAR
ANAR 135,Ancient Mediterranean Civ,3.935,4.885,2,ANAR
ANAR 135S,Ancient Mediterranean Civ,3.815,4.3,2,ANAR
ANAR 138,The Emergence of Civilization,3.385,3.27,2,ANAR
ANAR 141,Prehistory of the Holy Land   ,3.62,6.36,1,ANAR
ANAR 142,Rise & Fall of Ancient Israel ,3.46,3.88,1,ANAR
ANAR 143,Archeology Anthr & the Bible,3.5525,4.9925,4,ANAR
ANAR 143,Archeology Anthr & the Bible ,3.6500000000000004,3.495,2,ANAR
ANAR 143,Biblical Arch- Fact or Fiction,3.61,3.5866666666666673,3,ANAR
ANAR 144,PharaohsMummies:Intro Egyptly,3.5250000000000004,4.095000000000001,2,ANAR
ANAR 144,PharaohsMummiesPyramds:Egypt,3.2466666666666666,4.59,3,ANAR
ANAR 146,Feeding the World,3.8000000000000003,5.236666666666667,3,ANAR
ANAR 153,The Mysterious Maya,3.2600000000000002,4.4425,4,ANAR
ANAR 153,The Mysterious Maya           ,3.19,4.84,2,ANAR
ANAR 154,The Aztecs & Their Ancestors,3.3899999999999997,3.4450000000000003,4,ANAR
ANAR 154,The Aztecs & Their Ancestors  ,3.41,5.19,1,ANAR
ANAR 155,Stdy Abrd: Ancient Mesoamerica,3.98,4.233333333333333,3,ANAR
ANAR 155S,Stdy Abrd: Ancient Mesoamerica,3.928,8.386,5,ANAR
ANAR 156,Archaeology of South America,3.564,3.9799999999999995,5,ANAR
ANAR 156,Archaeology of South America  ,3.28,5.036666666666666,3,ANAR
ANAR 157S,Early Empires of the Andes    ,4.0,10.5,1,ANAR
ANAR 158,The Inca: Empire of the Andes,3.38,3.265,2,ANAR
ANAR 158,The Inca: Empire of the Andes ,3.45,4.255,2,ANAR
ANAR 158GS,The Inca,3.75,4.0,1,ANAR
ANAR 159,Societies/CaribbeanArchipelago,3.35,5.725,2,ANAR
ANAR 159GS,"""1492"" : Coexist Crusade",4.0,3.5,1,ANAR
ANAR 160,Ancient Maya: Arch Prob/Persp,4.0,6.0,2,ANAR
ANAR 164,Maritime Archaeology,3.263333333333333,6.126666666666666,3,ANAR
ANAR 164,Underwater Archaeology,3.7166666666666663,3.42,3,ANAR
ANAR 165,Archaeology & Biblical Seas,3.5,4.83,1,ANAR
ANAR 166,Environmental Archaeology,3.885,5.125,2,ANAR
ANAR 167,Geoarchaeology,4.0,8.5,1,ANAR
ANAR 180,Archaeology Workshop,3.95,5.025,4,ANAR
ANAR 181,Archaeology/Hunter Gatherers  ,3.5,4.72,1,ANAR
ANAR 182,Origin/Agriculture & Sedentism,3.796666666666667,4.826666666666667,3,ANAR
ANAR 184,Empires in Archaeo Perspective,3.2,5.7,1,ANAR
ANAR 184,Political Economy/Early Empire,3.785,4.5649999999999995,2,ANAR
ANBI 100,Spec Topics/Biological Anthrop,3.6033333333333335,4.358333333333333,6,ANBI
ANBI 100,Special Topic/Biological Anth,3.7714285714285714,4.018571428571429,7,ANBI
ANBI 103,Darwin's Legacy               ,3.5,3.13,1,ANBI
ANBI 109,Brain Mind Workshop,4.0,1.58,1,ANBI
ANBI 111,Adv Priciples/Human Evolution,3.52,5.279999999999999,2,ANBI
ANBI 111,Adv Priciples/Human Evolution ,3.404,5.148000000000001,5,ANBI
ANBI 111,Adv Principles/Human Evolution,3.33,4.1,1,ANBI
ANBI 111,Human Evolution,3.545,4.452500000000001,4,ANBI
ANBI 112,Methods in Human Neuroscience,3.71,4.25,2,ANBI
ANBI 112,Methods/Human CompNeuroscience,3.8825,4.407500000000001,4,ANBI
ANBI 116,Evolution/Primate Reproduction,3.4133333333333336,4.34,3,ANBI
ANBI 116,Hmn Sexuality in Evolutn Pers,3.4859999999999998,3.536,5,ANBI
ANBI 118,Technology on the Go,3.71,2.385,2,ANBI
ANBI 120,Ethical Dilemmas in Bio Anthro,4.0,4.5,1,ANBI
ANBI 120,Immortal Life/Henrietta Lacks,3.67,6.5,1,ANBI
ANBI 121,Polynesian Navigation,3.795,3.09,2,ANBI
ANBI 130,Biology of Inequality,3.356666666666667,4.4366666666666665,3,ANBI
ANBI 131,Biology and Culture of Race,3.6833333333333336,4.81,3,ANBI
ANBI 132,Conservation&Human Predicament,3.314,4.756,10,ANBI
ANBI 133,Evolution/Ecology: Great Ape,3.7,4.148000000000001,5,ANBI
ANBI 134,Human Evolutionary Genetics,3.515,4.555,6,ANBI
ANBI 135,Genetic Anthro Lab Techniques,3.4450000000000003,4.4925,4,ANBI
ANBI 136,Human Comparative Neuroanatomy,3.518,5.401999999999999,5,ANBI
ANBI 139,Evolution of Human Disease,3.7875,3.6525,4,ANBI
ANBI 140,Evolution of Human Brain,3.25625,5.03,8,ANBI
ANBI 140,Evolution of Human Brain      ,3.305,5.0525,4,ANBI
ANBI 141,The Evolution of Human Diet,3.601111111111111,4.043333333333333,9,ANBI
ANBI 141,The Evolution of Human Diet   ,3.385,4.4475,4,ANBI
ANBI 143,The Human Skeleton,3.503,5.394,10,ANBI
ANBI 143,The Human Skeleton            ,3.4316666666666666,8.291666666666666,6,ANBI
ANBI 144,Human Anatomy,3.606666666666667,4.536666666666666,3,ANBI
ANBI 145,Bioarchaeology,3.4966666666666666,4.861666666666667,6,ANBI
ANBI 146,Stable Isotopes in Ecology,3.625,5.1,2,ANBI
ANBI 146,Stable Isotopes in Ecology    ,3.89,5.7,1,ANBI
ANBI 148,Ecology/Evol Primate Behavior,3.75,6.5,1,ANBI
ANBI 148,Evolution Behavior Ecology,3.71,4.21,1,ANBI
ANBI 148,Primate Behavioral Ecology,3.625,5.195,2,ANBI
ANBI 148,Primate Behavioral Ecology    ,3.5149999999999997,6.625,2,ANBI
ANBI 149,Social/Behavioral Epigenetics,4.0,4.835,2,ANBI
ANBI 159,Biological&Cult Persptv/Intell,3.4171428571428573,3.9057142857142857,7,ANBI
ANBI 173,Cognition in Animals & Humans,3.8099999999999996,3.24,2,ANBI
ANBI 173,Cognition in Animals & Humans ,3.6,3.05,1,ANBI
ANBI 173,How Monkeys See the World,3.5525,4.8325,4,ANBI
ANBI 174,Conservation/ Media: Film Lab,4.0,2.5,1,ANBI
ANBI 175,Evidence for Early Ancestors,3.5,4.723333333333334,3,ANBI
ANBI 175,Modeling Behavior/Early Ancest,3.5925,5.9975000000000005,4,ANBI
ANLD 1,Introduction to Culture       ,3.58,5.23,1,ANLD
ANLD 3,World Prehistory              ,3.29,6.63,1,ANLD
ANLD 42,Study of Primates in Nature   ,3.4,4.79,1,ANLD
ANSC 100,Spec Top/Socio-Cultural Anthro,3.6015789473684214,4.973947368421053,38,ANSC
ANSC 101,Aging: Cult/Health Hum Dev,3.825,3.5700000000000003,2,ANSC
ANSC 101,Aging: Culture&Health/Hum Dev,3.795,2.7725,4,ANSC
ANSC 101A,KoreanWaveMedia&CulturalChange,3.91,3.36,1,ANSC
ANSC 102,The Anthropology of Work,3.94,5.38,1,ANSC
ANSC 103,Photography & Visual Culture,3.71,3.93,1,ANSC
ANSC 103,Photography & Visual Culture  ,3.65,5.26,1,ANSC
ANSC 104,Anthropology of Fantasy,3.57,6.85,1,ANSC
ANSC 104,The US-Mexico Border,3.6125,5.4350000000000005,4,ANSC
ANSC 105,Global Health & Inequality,3.6333333333333333,6.0,3,ANSC
ANSC 105,Global Health and Inequality,3.765,4.726666666666667,6,ANSC
ANSC 105GS,Global Health and Inequality,4.0,4.5,1,ANSC
ANSC 106,GH: Indig Med in Latin Amer,3.55,4.68,1,ANSC
ANSC 106,GH: Indig Med in Latin America,3.784,3.118,5,ANSC
ANSC 106GS,GH: Indig Med in Latin America,4.0,6.1,1,ANSC
ANSC 107,Capitalism and Empire,2.75,3.0,1,ANSC
ANSC 107,Meaning/Symbols in Social Life,3.69,4.156666666666666,3,ANSC
ANSC 108,Tourism and Global Culture,3.79,3.92,1,ANSC
ANSC 108,Tourism and Global Culture    ,3.545,3.9800000000000004,2,ANSC
ANSC 109,Jokes Monsters and Strangers,3.4333333333333336,4.1433333333333335,3,ANSC
ANSC 110,Societies & Cultures/Caribbean,3.69,7.12,1,ANSC
ANSC 112,Linguistic Anthropology Wkshp ,4.0,2.5,1,ANSC
ANSC 113,Lang Style & Youth Identities,3.07,3.97,1,ANSC
ANSC 114,Food Cultures of South Asia,3.715,2.81,2,ANSC
ANSC 116,Languages of Americas: Mayan,4.0,5.0,1,ANSC
ANSC 116,Languages of Americas: Mayan  ,3.67,8.83,1,ANSC
ANSC 117,Transgenderisms,3.6225,3.3725,4,ANSC
ANSC 117GS,Language and (Multi)Culture   ,3.56,9.83,1,ANSC
ANSC 118,Language and Culture,3.443,5.46,10,ANSC
ANSC 118,Language and Culture          ,3.17,5.072,5,ANSC
ANSC 119,Gesture Communication & Body,3.216666666666667,4.556666666666667,3,ANSC
ANSC 119,Gesture Communication & Body ,3.0833333333333335,7.31,3,ANSC
ANSC 119GS,Gesture Communication & Body ,3.5,9.39,1,ANSC
ANSC 120,Anthropology of Religion,3.606666666666667,4.533333333333333,3,ANSC
ANSC 120,Anthropology of Religion      ,3.5475,6.075,4,ANSC
ANSC 120,Religion and Culture,3.6975,5.2775,4,ANSC
ANSC 121,Psychological Anthropology,3.5946153846153845,4.650769230769231,13,ANSC
ANSC 121,Psychological Anthropology    ,3.572,5.442,5,ANSC
ANSC 122,Language in Society,3.383,4.9595,20,ANSC
ANSC 122,Language in Society           ,3.32375,4.7775,8,ANSC
ANSC 123,Political Anthropology,3.4450000000000003,6.145,2,ANSC
ANSC 124,Cultural Anthropology,3.5014285714285713,4.514285714285714,7,ANSC
ANSC 124,Cultural Anthropology         ,3.395,5.2524999999999995,4,ANSC
ANSC 125,Gender Sexuality & Society,3.6225,4.765833333333333,12,ANSC
ANSC 125,Gender Sexuality & Society  ,3.641428571428571,6.2299999999999995,7,ANSC
ANSC 125GS,Gender Sexuality & Society,3.92,4.35,1,ANSC
ANSC 126,Childhood and Adolescence,3.65,4.63,1,ANSC
ANSC 126,Childhood and Adolescence     ,3.52,6.29,3,ANSC
ANSC 127,DiscourseInteractn&SocialLife,3.73,4.37,1,ANSC
ANSC 128,Culture and Emotion,3.5,6.5,1,ANSC
ANSC 128,Culture and Emotion           ,3.456666666666667,6.433333333333334,3,ANSC
ANSC 129,Meaning and Healing,3.7516666666666665,6.448333333333333,6,ANSC
ANSC 129,Meaning and Healing           ,3.5400000000000005,9.13,3,ANSC
ANSC 131,Language Law Social Justice,3.425,5.055,4,ANSC
ANSC 133,Peoples&Cultures/Middle East,3.5949999999999998,5.55,2,ANSC
ANSC 134,Global Islam,3.83,3.83,1,ANSC
ANSC 134,Politics/Environmental Change,3.815,4.33,2,ANSC
ANSC 135,Indigenous Peoples/Latin Amer.,3.758,5.5600000000000005,5,ANSC
ANSC 135GS,Indigenous Peoples/Latin Amer.,4.0,5.7,1,ANSC
ANSC 136,Traditional Chinese Society,3.315,3.8675,4,ANSC
ANSC 136,Traditional Chinese Society   ,3.5,3.79,1,ANSC
ANSC 137,Chinese Popular Religion,3.432857142857143,4.428571428571429,7,ANSC
ANSC 137,Chinese Popular Religion      ,3.335,5.085,2,ANSC
ANSC 138,Cultural Design Practicum,3.83,5.67,2,ANSC
ANSC 139,Freud Psychoanalysis Culture,3.14,4.29,2,ANSC
ANSC 139,Native American Health,3.4266666666666663,3.783333333333333,3,ANSC
ANSC 140,Human Rights II: Contemp Issue,3.60625,5.355,16,ANSC
ANSC 141,Language Politics & Identity,3.92,2.65,1,ANSC
ANSC 142,Anthropology of Latin America,3.83,5.0875,4,ANSC
ANSC 142,Anthropology of Latin America ,3.71,6.99,2,ANSC
ANSC 143,Mental Health/Global Hlth Prty,3.18,3.77,1,ANSC
ANSC 144,Immigrant and Refugee Health,3.66,4.29,6,ANSC
ANSC 144,Immigrant and Refugee Health  ,3.8,5.99,1,ANSC
ANSC 145,Indigenous People/Nrth America,3.24,5.18,2,ANSC
ANSC 146,Global Health Persp/HIV,3.8183333333333334,3.465,6,ANSC
ANSC 147,Global Health and Environment,3.725,4.695,4,ANSC
ANSC 147,Global Health/ Environment,3.87,2.955,2,ANSC
ANSC 148,Global Health&Cultrl Diversity,3.5958823529411768,4.54,17,ANSC
ANSC 148,Global Health/Cultrl Diversity,3.5716666666666668,5.295,12,ANSC
ANSC 149,Conflict Health & Inequality,3.63,4.404999999999999,2,ANSC
ANSC 150,Culture and Mental Health,3.66,5.101,10,ANSC
ANSC 151,US-Mexico Border Ethnographies,3.855,4.27,2,ANSC
ANSC 152,Cultures of Crisis/Pol Correct,3.0,8.5,1,ANSC
ANSC 153,War in Lived Experience,3.86,4.79,1,ANSC
ANSC 154,Gender and Religion,3.85,5.8420000000000005,5,ANSC
ANSC 155,Humanitarian Aid,3.832,4.5200000000000005,5,ANSC
ANSC 156,Mad Films,3.692,3.18,5,ANSC
ANSC 158,Anthropology of Crisis,3.6,6.1,1,ANSC
ANSC 159,Anthropology of Marriage,3.6666666666666665,6.536666666666666,3,ANSC
ANSC 160,Nature Culture & Environment,3.67,8.5,1,ANSC
ANSC 162,Language Identity & Community,3.40625,4.15625,8,ANSC
ANSC 163,Culture&Commnication/Education,3.83,5.17,1,ANSC
ANSC 164,Intro to Medical Anthropology,3.45125,5.825,8,ANSC
ANSC 164,Intro to Medical Anthropology ,3.4,9.17,1,ANSC
ANSC 164,The Anthropology of Medicine  ,3.81,4.21,3,ANSC
ANSC 165,Contemporary South Asia,3.6133333333333333,5.19,6,ANSC
ANSC 165,Contemporary South Asia       ,3.88,3.56,1,ANSC
ANSC 166,Film and Culture in Asia,3.938,4.17,10,ANSC
ANSC 166,Film and Culture in Asia      ,3.825,5.055,2,ANSC
ANSC 167,Rituals and Celebrations      ,3.5840000000000005,6.282,5,ANSC
ANSC 168,The Human Condition,3.94,4.18,1,ANSC
ANSC 168,The Human Condition           ,3.5,4.79,1,ANSC
ANSC 169,Culture & Envr/Resrch Sem/Prac,4.0,5.609999999999999,3,ANSC
ANSC 170,Modernity and Human Experience,3.44,3.56,1,ANSC
ANSC 172,Life-History Seminar&Practicum,3.89,3.83,1,ANSC
ANSC 173,Ethnography in Practice,3.684,5.264,5,ANSC
ANSC 174,Sex / Money: the Anth/Sex Work,3.8,3.57,1,ANSC
ANSC 175,Anthropology of Capitalism,3.6933333333333334,3.776666666666667,3,ANSC
ANSC 175,Beyond Capitalism,3.723333333333333,3.9266666666666663,3,ANSC
ANSC 176,Critical Military Studies,3.5300000000000002,3.165,2,ANSC
ANSC 177,Anthrohistory: Past/Future,3.355,2.5949999999999998,2,ANSC
ANSC 178,Brain Mind Culture & History,3.7399999999999998,4.666666666666667,3,ANSC
ANSC 180,Capitalism & Gender,3.6025,4.4350000000000005,4,ANSC
ANSC 180,Labor's Relations,3.4699999999999998,5.645,2,ANSC
ANSC 181,Animal Affairs,3.55,5.86,1,ANSC
ANSC 182,Gun Violence/Social Pathology,3.67,3.3,1,ANSC
ANSC 183,Visualizing the Human,3.915,2.5,2,ANSC
ANSC 184,Food Culture and Society,3.7133333333333334,4.923333333333333,3,ANSC
ANSC 185,#BlackLivesMatter,3.785,4.21,2,ANSC
ANSC 186,Gender and Incarceration,3.75,4.276000000000001,5,ANSC
ANSC 187,Mental Health/Israel&Diaspora,3.0,2.5,1,ANSC
ANSC 188,Cultures of Healing,3.85,4.7,5,ANSC
ANSC 189,Anthropology of End of World,3.4,5.63,1,ANSC
ANSC 190,Yoga Practices,3.7925,3.8875,4,ANSC
ANSC 190GS,Medicine&Healing in South Asia,4.0,4.21,1,ANSC
ANSC 191,Narrative and Subjectivity,3.33,4.83,1,ANSC
ANSC 192,Capitalism and Imperialism,3.17,3.165,2,ANSC
ANSC 193,Capitalism and Nature,3.4466666666666668,4.276666666666666,3,ANSC
ANSC 194,Language Migration Borders,3.67,7.17,1,ANSC
ANTH 1,Introduction to Culture,3.6817647058823533,4.044705882352941,17,ANTH
ANTH 1,Introduction to Culture       ,3.541818181818182,4.576363636363637,11,ANTH
ANTH 10,Climate Justice,3.71,3.275,4,ANTH
ANTH 101,Foundations/Social Complexity,3.5675,4.595000000000001,20,ANTH
ANTH 101,Foundations/Social Complexity ,3.5483333333333333,5.016666666666667,6,ANTH
ANTH 102,Humans Are Cultural Animals,3.644375,3.820625,16,ANTH
ANTH 102,Humans Are Cultural Animals   ,3.4219999999999997,5.444,5,ANTH
ANTH 103,Social Anthropology,3.58,4.603333333333333,3,ANTH
ANTH 103,Social Anthropology           ,3.5159999999999996,5.002,5,ANTH
ANTH 103,Sociocultural Anthropology,3.65,4.649,10,ANTH
ANTH 105,Climate Change Race& Inequal,3.591666666666667,4.871666666666667,6,ANTH
ANTH 106,Climate and Civilization,3.68,4.44,4,ANTH
ANTH 107,Dsgn:DisastersEmergWeather,3.9,5.08,2,ANTH
ANTH 108,IndigPpls Develop& ClimChng,3.67,6.2749999999999995,2,ANTH
ANTH 109,ClimChngCultHertage&Vulnrabl,4.0,4.21,1,ANTH
ANTH 110,The Climate Change Seminar,3.9575,3.9175,4,ANTH
ANTH 111,Religion&Ecology/Anthropocene,3.7560000000000002,4.558,5,ANTH
ANTH 112,Regenerative Science/Ecology,3.7899999999999996,4.316666666666666,3,ANTH
ANTH 128A,CAS: Community Engaged Resrch,3.9,3.3,2,ANTH
ANTH 128B,CAS: Capstone Project,3.835,4.665,2,ANTH
ANTH 147,Understanding/Human Social Ord,3.835,12.415,4,ANTH
ANTH 192,Senior Seminar in Anthropology,4.0,0.875,6,ANTH
ANTH 196A,Honors Studies in Anthropology,3.9159999999999995,8.268,5,ANTH
ANTH 196B,Honors Studies in Anthropology,3.78,7.386666666666667,3,ANTH
ANTH 196C,Honors Studies in Anthropology,4.0,6.6659999999999995,5,ANTH
ANTH 196C,Thesis Research,4.0,3.17,1,ANTH
ANTH 2,Human Origins,3.5248000000000004,4.1912,25,ANTH
ANTH 2,Human Origins                 ,3.3377777777777777,5.125555555555556,9,ANTH
ANTH 21,Race and Racisms,3.6982352941176466,4.012745098039216,51,ANTH
ANTH 21,Race and Racisms              ,3.6,6.68,1,ANTH
ANTH 23,Debating Multiculturalism,3.6050847457627118,4.0772881355932205,59,ANTH
ANTH 23,Debating Multiculturalism     ,3.428888888888889,4.874444444444444,9,ANTH
ANTH 24,Mapping Capitalism,3.86,2.5,1,ANTH
ANTH 25,Research In Anthropology,3.88,2.5,1,ANTH
ANTH 3,Global Archaeology,3.6719999999999997,3.253,10,ANTH
ANTH 3,World Prehistory,3.6175,2.7725,4,ANTH
ANTH 3,World Prehistory              ,3.4590000000000005,3.9549999999999996,10,ANTH
ANTH 4,Words/Worlds/Intro to AN/Lang,3.5599999999999996,3.615,2,ANTH
ANTH 42,Study of Primates in Nature,3.5,4.06,1,ANTH
ANTH 42,Study of Primates in Nature   ,3.476,4.502,5,ANTH
ANTH 43,Intro/Bio & Culture of Race,3.5,4.665,2,ANTH
ANTH 44,New Media in the Korean Wave,3.87,1.62,1,ANTH
ANTH 5,Human Machine:Skeleton Within,3.57,3.75,1,ANTH
ANTH 5,Intro Human Skeleton,3.42,4.6,1,ANTH
ANTH 5,The Human Machine,3.14,7.61,1,ANTH
ANTH 87,Freshman Seminar,3.9366666666666665,1.3814285714285712,21,ANTH
ANTH 87,Freshman Seminar              ,4.0,1.0022222222222221,9,ANTH
AWP 1,Analytical Writing,3.025855855855856,7.678918918918919,111,AWP
AWP 10,Lang&Learning in American Acad,3.546666666666667,5.463066666666667,75,AWP
AWP 102,Writing for the Professions,3.6325,6.835,4,AWP
AWP 2A,Analytical Writing A,3.5518072289156626,6.117590361445783,83,AWP
AWP 2B,Analytical Writing B,3.331428571428571,7.120833333333333,84,AWP
AWP 3,Analytical Writing,3.1606306306306307,7.099369369369369,111,AWP
AWP 4A,Analytical Writing A,3.6759302325581396,5.8263953488372096,86,AWP
AWP 4B,Analytical Writing B,3.4120481927710844,6.635542168674699,83,AWP
BENG 1,Introduction to Bioengineering,3.9077272727272727,2.4681818181818183,22,BENG
BENG 100,Intro to Bioengineering Design,3.2075,8.8,4,BENG
BENG 100,Intro to Prob & Stats for BENG,3.435,5.89,6,BENG
BENG 100,Introduction to Bioengineering,3.4275,5.44625,8,BENG
BENG 100,Stat Reasoning Bioeng Applns,2.8633333333333333,8.99,6,BENG
BENG 101,Foundations/Biomedical Imaging,3.4099999999999997,5.1946666666666665,15,BENG
BENG 102,Moleculr Components Living Sys,3.65875,5.56875,8,BENG
BENG 103B,Bioengineering Mass Transfer,3.2830769230769232,9.183846153846154,13,BENG
BENG 103B,Bioengineering Mass Transfer  ,3.057142857142857,8.764285714285714,7,BENG
BENG 104GS,Physiology of Human Endur/Exer,3.5,7.45,1,BENG
BENG 105GS,Performnce Sci/Austral Inst Sp,3.7,6.23,1,BENG
BENG 109,BENG Statics & Dynamics,3.52,6.293333333333334,3,BENG
BENG 109,BENG Statics & Dynamics       ,3.496,6.39,5,BENG
BENG 110,Continuum Mechanics,3.365,8.764999999999999,4,BENG
BENG 110,Continuum Mechanics           ,3.28,8.43,6,BENG
BENG 110,Foundation of Biomechanics,3.498,6.784000000000001,5,BENG
BENG 110,Muskoloskeletal Biomechanics,3.3166666666666664,6.91,6,BENG
BENG 112A,Biomechanics                  ,3.2875,9.4125,4,BENG
BENG 112A,Biomechanics I,3.6399999999999997,4.875,4,BENG
BENG 112A,Biomechanics I                ,3.53,8.67,1,BENG
BENG 112A,Soft Tissue Biomechanics,3.3249999999999997,6.426666666666667,6,BENG
BENG 112A,Tissue Biomechanics,3.5324999999999998,5.9675,4,BENG
BENG 112B,Biomechanics                  ,3.315,8.635,4,BENG
BENG 112B,Biomechanics II,3.323333333333333,7.346666666666667,3,BENG
BENG 112B,Biomechanics II               ,3.42,8.82,1,BENG
BENG 112B,Fluid and Cell Biomechanics,3.3962499999999998,6.44625,8,BENG
BENG 119A,Design Develop.in Biomechanics,3.8922222222222222,6.12,18,BENG
BENG 119B,Design Implmntatn Biomechanics,3.9845454545454544,8.032727272727273,11,BENG
BENG 120,Org Chem-Structural & Design,3.347857142857143,6.792142857142857,14,BENG
BENG 122A,Biosystems and Control,3.518333333333333,6.534166666666667,12,BENG
BENG 122A,Biosystems and Control        ,3.23125,7.796250000000001,8,BENG
BENG 123,Dynamic Simulatn in Bioeng,3.36875,11.065,8,BENG
BENG 123,Systems Biology & Bioenginring,3.355,11.48625,8,BENG
BENG 125,Modeling & Computatio/Bioengr,3.448,6.357333333333333,15,BENG
BENG 125,Modeling & Computatio/Bioengr ,3.5060000000000002,6.704000000000001,5,BENG
BENG 126A,Design Dev Bioinformatics BENG,3.7823076923076924,7.086923076923076,13,BENG
BENG 126B,Design Implmnt Informatcs BENG,3.932,9.353,10,BENG
BENG 127A,Design Dev.Molec. Systems BENG,3.9899999999999998,6.917,10,BENG
BENG 127B,Design Implmnt Molec.Syst BENG,4.0,7.877,10,BENG
BENG 128A,Design Dev.Genetc Circuit BENG,3.857142857142857,9.142857142857142,7,BENG
BENG 128B,Design Implmnt Genetic Circuit,3.73625,7.97,8,BENG
BENG 129A,Design Develp.Cell System BENG,3.8814285714285717,6.3585714285714285,14,BENG
BENG 129B,Design Implmnt Cell Systm BENG,4.0,7.984999999999999,8,BENG
BENG 130,Biotech Thermodynamics & Kinet,3.3654545454545453,6.72,11,BENG
BENG 130,Molecular Physical Chemistry,3.2025,6.7575,4,BENG
BENG 130,Molecular Physical Chemistry  ,3.2159999999999997,6.702,5,BENG
BENG 133,Numerical Analys-Computatn Eng,3.3114285714285714,7.384285714285714,7,BENG
BENG 134,Measurements/Stats/Probability,3.151,9.873000000000001,10,BENG
BENG 135,Biomedical Signals & Systems,3.6057142857142854,6.890000000000001,7,BENG
BENG 139A,Design Develpmt Molecular BENG,3.8045454545454547,9.009090909090908,11,BENG
BENG 139B,Design Implmntn Molecular BENG,3.9583333333333335,9.496666666666668,6,BENG
BENG 140A,Bioengineering Physiology,3.4575,6.7375,12,BENG
BENG 140A,Bioengineering Physiology     ,3.447142857142857,6.048571428571429,7,BENG
BENG 140B,Bioengineering Physiology,3.5,5.927692307692308,13,BENG
BENG 140B,Bioengineering Physiology     ,3.317142857142857,7.031428571428571,7,BENG
BENG 141,Biomedical Optics and Imaging,3.77125,4.9575,8,BENG
BENG 147A,Design Develpmnt in Neural Eng,3.803636363636364,8.502727272727272,11,BENG
BENG 147B,Design Implmntatn Neural Engin,3.813846153846154,8.946923076923078,13,BENG
BENG 148A,Design Developmnt Cardiac BENG,3.8899999999999997,8.118888888888888,9,BENG
BENG 148B,Design Implmntatn Cardiac BENG,3.7946153846153843,10.666153846153845,13,BENG
BENG 149A,Design Develpmnt Vascular BENG,3.934,7.831999999999999,5,BENG
BENG 149B,Design Implmntn Vascular BENG,3.7925,12.5025,4,BENG
BENG 149B,Design Implmntn Vascular BENG ,3.75,7.7,1,BENG
BENG 152,BioSystems Engineering Lab,3.855555555555556,7.118888888888888,9,BENG
BENG 160,Chem & Molecular BENG Techniqs,3.621578947368421,7.443157894736841,19,BENG
BENG 161A,Bioreactor Engineering,3.3963636363636365,8.42818181818182,11,BENG
BENG 161A,Bioreactor Engineering        ,3.4183333333333334,7.213333333333334,6,BENG
BENG 161B,Biochemical Engineering,3.5013333333333336,7.27,15,BENG
BENG 161B,Biochemical Engineering       ,3.37,8.87125,8,BENG
BENG 162,Biotechnology Laboratory,3.644285714285714,7.357857142857143,14,BENG
BENG 162,Biotechnology Laboratory      ,3.5460000000000003,8.734,5,BENG
BENG 166A,Cell and Tissue Engineering,3.544545454545455,6.892727272727272,11,BENG
BENG 166A,Cell and Tissue Engineering   ,3.396,7.008,5,BENG
BENG 167,Cell & Tissue Engineering Lab ,3.67,3.17,1,BENG
BENG 168,Biomolecular Engineering,3.5157142857142856,6.847857142857143,14,BENG
BENG 168,Biomolecular Engineering      ,3.285,6.2316666666666665,6,BENG
