Course Code,Department,Course Name,Study Hours per Week,Average GPA Received,Average Letter Grade Received
ANSC 101,ANSC,Aging: Culture&Health/Hum Dev,2.7725,3.6825,B+ (3.3)
ANSC 101A,ANSC,KoreanWaveMedia&CulturalChange,3.36,3.75,A- (3.7)
ANSC 102,ANSC,The Anthropology of Work,5.38,3.43,B+ (3.3)
ANSC 103,ANSC,Photography & Visual Culture,4.595,3.4,B+ (3.3)
ANSC 104,ANSC,Anthropology of Fantasy,6.85,3.63,B+ (3.3)
ANSC 104,ANSC,The US-Mexico Border,5.4350000000000005,2.66,C+ (2.3)
ANSC 105,ANSC,Global Health & Inequality,6.0,3.745,A- (3.7)
ANSC 105,ANSC,Global Health and Inequality,4.726666666666667,3.7525,A- (3.7)
ANSC 105GS,ANSC,Global Health and Inequality,4.5,3.71,A- (3.7)
ANSC 106,ANSC,GH: Indig Med in Latin Amer,4.68,3.85,A- (3.7)
ANSC 106,ANSC,GH: Indig Med in Latin America,3.118,3.668,B+ (3.3)
ANSC 107,ANSC,Meaning/Symbols in Social Life,4.156666666666666,3.495,B+ (3.3)
ANSC 108,ANSC,Tourism and Global Culture,3.9600000000000004,3.4433333333333334,B+ (3.3)
ANSC 109,ANSC,Jokes Monsters and Strangers,4.1433333333333335,3.25,B (3.0)
ANSC 110,ANSC,Societies & Cultures/Caribbean,7.12,3.67,B+ (3.3)
ANSC 113,ANSC,Lang Style & Youth Identities,3.97,3.31,B+ (3.3)
ANSC 114,ANSC,Food Cultures of South Asia,2.81,3.66,B+ (3.3)
ANSC 118,ANSC,Language and Culture,5.330666666666667,3.2891666666666666,B (3.0)
ANSC 119,ANSC,Gesture Communication & Body,5.933333333333334,2.94,B- (2.7)
ANSC 120,ANSC,Anthropology of Religion,5.414285714285714,3.438333333333333,B+ (3.3)
ANSC 120,ANSC,Religion and Culture,5.2775,3.6333333333333333,B+ (3.3)
ANSC 121,ANSC,Psychological Anthropology,4.870555555555556,3.552941176470588,B+ (3.3)
ANSC 122,ANSC,Language in Society,4.9075,3.136923076923077,B (3.0)
ANSC 123,ANSC,Political Anthropology,6.145,3.6,B+ (3.3)
ANSC 124,ANSC,Cultural Anthropology,4.782727272727272,3.4927272727272727,B+ (3.3)
